image,labels
a86b94b512f16793.jpg,complex
00augmented_8fc7d83ce185c235.jpg,rust
fde49181de95891a.jpg,scab
8e87c18acf98b5b1.jpg,scab
c0368d6668ff209f.jpg,healthy
d51782721d9f1c9a.jpg,healthy
d3c5dad42567622c.jpg,frog_eye_leaf_spot
bd88d392ef883274.jpg,healthy
00augmented_978b59b56a53e184.jpg,rust
f4e737c4dac8a904.jpg,complex
00augmented_848ccd9333e74d59.jpg,complex
f4ca866c9c7c9847.jpg,frog_eye_leaf_spot
e9adc2d4ffe820a0.jpg,healthy
fdbd860cc251c0ed.jpg,rust
ab42978fb9c2d425.jpg,rust
c09431b9cced4ee6.jpg,complex
b19e432aebe107a3.jpg,frog_eye_leaf_spot
92a58ade0de5278e.jpg,complex
f939e0970f469a58.jpg,healthy
00augmented_99229c7f906c768d.jpg,rust
f9dcca616838a578.jpg,healthy
cc61e398752faac4.jpg,scab
00augmented_92ab722d2beb8711.jpg,complex
f231a51a022bcefb.jpg,scab
eeca70a9a115563b.jpg,frog_eye_leaf_spot
c0cd1f011f5e5a3e.jpg,healthy
aefe4728cb204b3a.jpg,scab
00augmented_cf3712db29997809.jpg,rust
afc09fc642e16b23.jpg,healthy
00augmented_91819b70a8bfe395.jpg,rust
9a848f99794b5396.jpg,complex
c8c9358a7a25d27d.jpg,scab
f82794f604f9a519.jpg,scab
8c193aec8b674676.jpg,rust
81a1ca9c95b9d9d9.jpg,complex
fd81a7dc999a3488.jpg,healthy
c34b6ae4259ebcc8.jpg,scab
dec0e09fc38e858d.jpg,frog_eye_leaf_spot
f47ad2a2ca934d8a.jpg,scab
97fd3cf2cc394408.jpg,frog_eye_leaf_spot
b5ba9a6d78446784.jpg,rust
00augmented_bba472c49b1a196b.jpg,complex
a8eac2b6c5b6c0d6.jpg,frog_eye_leaf_spot
b09590f59b031d7d.jpg,scab
fc4c52d0e8bae07c.jpg,scab
f008cbbf8f8988d9.jpg,frog_eye_leaf_spot
8f87b434303bfa54.jpg,scab
d8b960f02a731ed5.jpg,scab
c2db68bcd7969a80.jpg,scab
95584a3a9f25e55a.jpg,healthy
f01be0206c65fc7e.jpg,frog_eye_leaf_spot
f8c0c39fd83d34a8.jpg,frog_eye_leaf_spot
d17aaf619c914a1b.jpg,frog_eye_leaf_spot
95a921b75e401afe.jpg,rust
a55acc53b8ec5135.jpg,frog_eye_leaf_spot
d02d2bd83745c1de.jpg,scab
00augmented_c198cf2f7a1f850a.jpg,complex
b5d079ed1c2426e5.jpg,frog_eye_leaf_spot
f69f9a2c0d8c3c16.jpg,scab
c47a6ed8a111175f.jpg,scab
cc66388e63b1cc37.jpg,frog_eye_leaf_spot
c5e1af4bc07439d4.jpg,rust
00augmented_8d5af4a1b346b0e5.jpg,complex
91ece5c69907362b.jpg,healthy
00augmented_ba99260ef46b18cb.jpg,complex
c59c22caba4e59f4.jpg,frog_eye_leaf_spot
855b356b9174a9aa.jpg,scab
fa7ad5c281c2e14b.jpg,scab
ff98c1c88f47223c.jpg,healthy
e5c69f1ba0a415b6.jpg,rust
00augmented_f40bc33c1ce6703b.jpg,complex
916e91b7211eb3ac.jpg,rust
d54f7030c8e56fb0.jpg,healthy
adefd68ab0615063.jpg,frog_eye_leaf_spot
97096a398d55d44f.jpg,rust
f5b18011cbbb630f.jpg,healthy
a8a329aa72de6e4a.jpg,scab
dedd202ec7f07218.jpg,frog_eye_leaf_spot
89ea50c4af257ab5.jpg,frog_eye_leaf_spot
c88ef30df4f087c4.jpg,rust
a98c395e1d7492bc.jpg,scab
f0cdcf9ec42b005d.jpg,healthy
f08b8e71ecb3021f.jpg,rust
e0afe3dc071c8798.jpg,scab
9eb1e8c7899ec198.jpg,rust
ceadd0c5353aa962.jpg,complex
8eea38f671078695.jpg,complex
c5597e86a547b4a2.jpg,frog_eye_leaf_spot
9b9b69663666c324.jpg,frog_eye_leaf_spot
8490712d5f8fbb23.jpg,healthy
c0a3e1e98755fd44.jpg,healthy
e0378f8fbd987090.jpg,scab
f556c0f5c0c38cc7.jpg,healthy
badce4b2a33a05ac.jpg,frog_eye_leaf_spot
f7dacac706874d04.jpg,healthy
00augmented_d83f10c2937afe09.jpg,complex
cefce02381f31ccc.jpg,frog_eye_leaf_spot
f9899391939797c0.jpg,frog_eye_leaf_spot
adfbc8132eb52268.jpg,scab
92bab269d20f43b6.jpg,rust
9f74df63892124b2.jpg,scab
a8bd51c78dd1a4cc.jpg,scab
c1a115d55fd53507.jpg,healthy
e5b5759a7b49c201.jpg,frog_eye_leaf_spot
a1b7b18287e0ce5b.jpg,rust
8a8591d2e865f1db.jpg,healthy
e3879f8f0c241e33.jpg,frog_eye_leaf_spot
00augmented_d41a7b0479631c7b.jpg,complex
c5ce0dc3f197321a.jpg,complex
d4b09efd7c98cc20.jpg,healthy
ea8593ae51b6394a.jpg,healthy
da0ff22d550d5523.jpg,scab
de23c5b90811beab.jpg,scab
c9d62dc01a09fde9.jpg,scab
948bcdf456b47226.jpg,healthy
e112d42b1fe2eab4.jpg,scab
90f45f2e2d1e2789.jpg,healthy
00augmented_85947d1e914af03f.jpg,rust
00augmented_b6305e447728e379.jpg,rust
b432f296da1ec05e.jpg,frog_eye_leaf_spot
00augmented_d0f9cfa045d33349.jpg,complex
edd22254c471ab9e.jpg,rust
aa297ce5e46e851a.jpg,rust
f981800387e7d3d7.jpg,scab
d0d6039f8bb594e1.jpg,healthy
fe4bc0bb89192176.jpg,healthy
af6292db1b611d98.jpg,complex
8ab0e7d97708718e.jpg,healthy
98c7515f64cab1b4.jpg,frog_eye_leaf_spot
bc7cc4d08d95b3c1.jpg,complex
cafb12a6054f5c4d.jpg,scab
fce284faa4d7c094.jpg,complex
ec83c7c04a1e9db9.jpg,rust
fc2799d2f3890705.jpg,frog_eye_leaf_spot
00augmented_a8c27797c349c8e6.jpg,complex
00augmented_eae014d68aeafd21.jpg,complex
fdf1ca21cf1a4a12.jpg,healthy
f5aed2d03d89c262.jpg,complex
a8a894d7daf46d21.jpg,frog_eye_leaf_spot
00augmented_81e293df16992cb9.jpg,rust
f5b4d3ddf9400464.jpg,rust
e0f6c7bd12a401cf.jpg,complex
00augmented_8dfd544a4a4b6d94.jpg,rust
00augmented_81a1ca9c95b9d9d9.jpg,complex
f0c1b0d5d58b9a1d.jpg,rust
ccf0cc1dcccd4a4e.jpg,healthy
8b4e03259f4b97c5.jpg,scab
00augmented_c51a77312e5634b6.jpg,complex
c13ac1d89f438ccf.jpg,scab
a3a9f195cf8a8d14.jpg,frog_eye_leaf_spot
00augmented_95d9b7395a846a64.jpg,rust
ce01bfc79e1270b2.jpg,frog_eye_leaf_spot
e7c298d55c949c39.jpg,frog_eye_leaf_spot
00augmented_a696c069e7a1da69.jpg,complex
85bc87cf1cf8fc00.jpg,frog_eye_leaf_spot
00augmented_ece9b6d69e9a1802.jpg,complex
f73c821bc0f81fb0.jpg,healthy
a52e958588da3b3d.jpg,complex
00augmented_a5a50c2566fa19db.jpg,rust
c0f896d7dbad05a0.jpg,healthy
c1fbb3e9824d9226.jpg,healthy
c681d4488bedf695.jpg,frog_eye_leaf_spot
f8d4cb28137798c5.jpg,frog_eye_leaf_spot
00augmented_c4e8843569247fcf.jpg,rust
9cf6d017d7d80079.jpg,scab
c5b03a4f4e813dcd.jpg,healthy
acdb90e363b0b26a.jpg,frog_eye_leaf_spot
00augmented_aa4c3b98b9399393.jpg,rust
d72dc4feab008e1c.jpg,complex
b5b2f8855aa3b84a.jpg,complex
e1eade2d72242687.jpg,scab
ab919c8f84cbcd1c.jpg,healthy
00augmented_c43c6851c354bfd6.jpg,rust
892a2dc79ec75847.jpg,scab
00augmented_aaeac6c1cdab0a9a.jpg,complex
00augmented_c9e681f71dc0d558.jpg,rust
dd8e5821c3cb9396.jpg,complex
aba1e3cf848da519.jpg,frog_eye_leaf_spot
ffdef27b820081c4.jpg,complex
92ad52c79d278b31.jpg,rust
cc803d1f6172787e.jpg,scab
94dbe0dc07a1fe41.jpg,frog_eye_leaf_spot
c7f643e53e182958.jpg,frog_eye_leaf_spot
00augmented_b0bc031e44f8d7e6.jpg,rust
d6427a97631b27a8.jpg,complex
fcd5e4bec81ac818.jpg,healthy
f5b5e144cb0c44fc.jpg,healthy
9dbb23caa562905d.jpg,frog_eye_leaf_spot
00augmented_82f535ab5a31a5ca.jpg,rust
bc36c098a38ad9ee.jpg,complex
c7642e8769d6e84a.jpg,frog_eye_leaf_spot
a01fd254cf336963.jpg,frog_eye_leaf_spot
b43ac9e568cca5d8.jpg,frog_eye_leaf_spot
e8a5f0c6c587968b.jpg,complex
abb0d8a46b1a25cf.jpg,frog_eye_leaf_spot
82f535ab5a31a5ca.jpg,rust
aca2813ed88ecf4d.jpg,scab
95b80762eec6193e.jpg,frog_eye_leaf_spot
c8c93c3462637abb.jpg,healthy
c89a4c8d729b945f.jpg,healthy
